# protein_targetability_matrix.csv
# HYPOTHESIS-GENERATING TRIAGE LAYER — SEPARATE FROM AND NOT VALIDATING THE ISCI/T-REMAP CORE.
# This is NOT a therapeutic target recommendation. It annotates the locked candidate list with
# orthogonal protein/druggability metadata to prioritize follow-up EXPERIMENTS (probes, arrays,
# CRISPRi/a titration), not clinical intervention. All directional/class calls are computational
# hypotheses requiring wet-lab validation.
# Sources: MyGene (ID map), UniProt (families/keywords/localization), Human Protein Atlas 25.1
#   (protein class, subcellular, blood/immune expression), ChEMBL (target existence + approved/
#   clinical mechanism-of-action drugs). Open Targets tractability was UNAVAILABLE this run
#   (upstream global rate limit sustained >10 min); druggability_tier is ChEMBL+HPA-derived.
# localization: derived from HPA experimental main subcellular location (primary); 'secreted' is
#   tagged ONLY on explicit extracellular/blood secretion, NOT on minor isoform/context notes.
# translation_triage_score = 0.45*ISCI_orth(norm; reversers=0.55 prior) + 0.25*druggability_tier
#   + 0.20*sm_ligandability + 0.15*robust_reverser  MINUS penalties
#   (TCR/signaling-proximal 0.20, broadly-essential 0.15, tumor-suppressor-KD-oncogenic 0.30);
#   rescaled 0-1. Higher = stronger experimental-follow-up priority, NOT stronger drug target.
# intervention_direction & class are safety-gated computational hypotheses (see project docs).
gene,ISCI_orthogonal,ISCI_primary_rank,family,known_regulator,robust_reverser,protein_class,localization,hpa_main_loc,immune_expr,immune_detail,tcell_enriched,druggability_tier,n_chembl_drugs,chembl_moa,chembl_action,sm_ligandability,penalty_flags,intervention_direction,class,translation_triage_score
UNCX,,,reverser,False,True,TF,intracellular,Nucleoplasm,low/absent,blood:Not detected in immune cells/Not detected,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
IRF2BP1,,,reverser,False,True,TF,intracellular,Nucleoplasm,low/absent,blood:Not detected in immune cells/Not detected,False,no_chembl_target,0,,,low,none,KD_harmful_suggests_OE,reverser_only,0.719
CCDC28B,,,reverser,False,True,scaffold/adapter,intracellular,"cytoplasm, cytoskeleton, microtubule organizing center, cent",broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
WBP4,,,reverser,False,True,RNA-binding,surface(peripheral),Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
COMMD10,,,reverser,False,True,scaffold/adapter,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
INPP5D,0.831547619047619,41.0,Treg/brake,False,False,phosphatase,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,clinical_drug,1,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 activator",ACTIVATOR,high,none,KD_harmful_suggests_OE,engineering_candidate,0.697
STAT6,0.9061507936507937,8.0,IFN/Th1,True,False,TF,intracellular,Nucleoplasm; Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,probe_only,0.694
RCOR1,0.9031746031746032,9.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.654
MORF4L1,0.8775793650793651,16.0,chromatin/tx,False,False,chromatin,intracellular,Nuclear speckles,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.651
TFAP4,0.922420634920635,4.0,IFN/Th1,False,False,TF,intracellular,Nucleoplasm; Mitochondria,low/absent,blood:Not detected in immune cells/Not detected,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.65
CNOT9,,,reverser,False,True,RNA-binding,intracellular,Cytoplasmic bodies,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,broadly-essential,transient_inhibition,reverser_only,0.628
RFT1,,,reverser,False,True,other,intracellular,Vesicles,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,broadly-essential,transient_inhibition,reverser_only,0.628
CYB561D2,0.9166666666666669,5.0,other,False,False,other,intracellular,endoplasmic reticulum membrane {eco:0000250|uniprotkb:q9wue3,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.621
SETD1B,0.8694444444444445,22.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,restricted,blood:Low immune cell specificity/Detected in some,False,chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.61
MED13,,,reverser,False,True,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,medium,broadly-essential,transient_inhibition,manufacturing_modulation,0.603
ZC3H12A,0.9077380952380952,7.0,RNA/post-tx,False,False,RNA-binding,intracellular,Cytoplasmic bodies,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,low,none,transient_inhibition,probe_only,0.576
BRD9,0.8613095238095239,28.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.569
SAMD1,0.8791666666666667,15.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.533
TWF1,0.8956349206349207,12.0,cytoskeleton/synapse,False,False,scaffold/cytoskeleton,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.515
CBX5,0.8496031746031746,30.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.51
CHORDC1,,,reverser,False,True,scaffold/adapter,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,broadly-essential,transient_inhibition,reverser_only,0.502
MAU2,,,reverser,False,True,scaffold/adapter,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,broadly-essential,transient_inhibition,reverser_only,0.502
PTPRC,0.8496031746031746,30.0,NF-kB/TCR,False,False,phosphatase(receptor),surface,Nucleoplasm; Vesicles,broad,blood:Low immune cell specificity/Detected in all,False,clinical_drug,2,Leukocyte common antigen binding agent,BINDING AGENT,high,TCR/signaling-proximal,transient_inhibition,engineering_candidate,0.499
NR4A3,0.8666666666666667,25.0,Treg/brake,False,False,TF,intracellular,nucleus {eco:0000255|prosite-prorule:pru00407},low/absent,blood:Not detected in immune cells/Not detected,False,chembl_target,0,,,low,none,KD_harmful_suggests_OE,probe_only,0.495
HNRNPA1,0.8626984126984127,27.0,RNA/post-tx,False,False,RNA-binding,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,probe_only,0.475
ARHGAP30,0.8650793650793651,26.0,cytoskeleton/synapse,False,False,GAP/GEF,intracellular,Vesicles,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,medium,none,titratable,engineering_candidate,0.462
IL2RB,0.8374999999999999,35.0,IFN/Th1,False,False,receptor/surface,surface,Plasma membrane (UniProt),broad,blood:Group enriched/Detected in many,True,clinical_drug,2,Interleukin-2 receptor beta chain inhibitor,INHIBITOR,high,TCR/signaling-proximal,transient_inhibition,engineering_candidate,0.438
GATA3,0.8793650793650793,14.0,IFN/Th1,True,False,TF,intracellular,Nucleoplasm,broad,blood:Group enriched/Detected in many,True,no_chembl_target,0,,,low,none,titratable,probe_only,0.433
PPM1D,0.8738095238095238,19.0,apoptosis/survival,False,False,phosphatase,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,broadly-essential,transient_inhibition,engineering_candidate,0.416
USP22,0.829563492063492,44.0,chromatin/tx,False,False,protease/ubiquitin,intracellular,Nuclear speckles,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,transient_inhibition,engineering_candidate,0.409
DDIT4,0.8742063492063492,18.0,apoptosis/survival,False,False,other,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,transient_inhibition,probe_only,0.407
PPHLN1,0.8271825396825396,46.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.397
OSR1,0.8446428571428571,33.0,other,False,False,TF,intracellular,nucleus {eco:0000305},low/absent,blood:Not detected in immune cells/Not detected,False,chembl_target,0,,,low,none,titratable,probe_only,0.384
PHF8,0.8246031746031746,48.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.384
GSTCD,0.8680555555555556,24.0,other,False,False,other,intracellular,Nucleoplasm,broad,blood:Immune cell enhanced/Detected in many,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.376
MYO9A,0.8462301587301587,32.0,cytoskeleton/synapse,False,False,GAP/GEF,surface,Plasma membrane,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,medium,none,titratable,engineering_candidate,0.367
IRF1,0.9509920634920634,1.0,IFN/Th1,True,False,TF,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,tumor-suppressor(KD-oncogenic-risk),titratable,toxicity_risk,0.361
HNRNPD,0.8347222222222221,36.0,RNA/post-tx,False,False,RNA-binding,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,probe_only,0.334
CTBP1,0.839484126984127,34.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.333
RBCK1,0.8724206349206349,20.0,NF-kB/TCR,False,False,protease/ubiquitin,intracellular,n/a,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,medium,TCR/signaling-proximal,transient_inhibition,engineering_candidate,0.21
WDR82,0.831547619047619,41.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoli rim,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,broadly-essential,transient_inhibition,manufacturing_modulation,0.202
ZNF785,0.833531746031746,37.0,other,False,False,TF,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.202
BLZF1,0.8321428571428571,38.0,other,False,False,scaffold/adapter,intracellular,Golgi apparatus,broad,blood:Immune cell enhanced/Detected in all,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.195
DDA1,0.8686507936507937,23.0,other,False,False,other,intracellular,Nucleoplasm; Nucleoli,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,broadly-essential,transient_inhibition,probe_only,0.162
CD3E,0.8317460317460318,40.0,NF-kB/TCR,False,False,receptor/surface,surface,Endoplasmic reticulum; Plasma membrane,broad,blood:Group enriched/Detected in all,True,clinical_drug,7,T-cell surface glycoprotein CD3 epsilon chain binding agent; T-cell surface glycoprotein CD3 epsilon chain cross-linking agent; T-cell surface glycoprotein CD3 epsilon chain inhibitor,BINDING AGENT; CROSS-LINKING AGENT; INHIBITOR,high,TCR/signaling-proximal,avoid,avoid_permanent_TCR_shutdown,0.15
CD3D,0.8767857142857143,17.0,NF-kB/TCR,False,False,receptor/surface,surface,Endoplasmic reticulum; Vesicles,broad,blood:Group enriched/Detected in all,True,no_chembl_target,0,,,medium,TCR/signaling-proximal,avoid,avoid_permanent_TCR_shutdown,0.15
KLF13,0.8222222222222222,50.0,IFN/Th1,False,False,TF,intracellular,nucleus {eco:0000269|pubmed:17513757},broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,probe_only,0.144
UFM1,0.8279761904761904,45.0,other,False,False,other,intracellular,nucleus {eco:0000269|pubmed:15071506},broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,broadly-essential,transient_inhibition,probe_only,0.083
PAXIP1,0.8319444444444444,39.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm; Vesicles,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,medium,broadly-essential,transient_inhibition,manufacturing_modulation,0.078
CASP3,0.8236111111111111,49.0,apoptosis/survival,False,False,protease/ubiquitin,intracellular,Mitochondria,broad,blood:Group enriched/Detected in all,False,chembl_target,0,,,medium,broadly-essential; tumor-suppressor(KD-oncogenic-risk),transient_inhibition,toxicity_risk,0.0
SMG8,0.825595238095238,47.0,RNA/post-tx,False,False,RNA-binding,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,broadly-essential,transient_inhibition,probe_only,0.0
PTEN,0.8301587301587301,43.0,Treg/brake,False,False,phosphatase,intracellular,Nucleoplasm; Cytosol,broad,blood:Immune cell enhanced/Detected in all,False,chembl_target,0,,,medium,tumor-suppressor(KD-oncogenic-risk),KD_harmful_suggests_OE,toxicity_risk,0.0
