target,role,guide_id,guide_rank,nostim_cells,stim_cells,min_context_cells,total_cells,technical_target_score,counted_in_primary,sequence_status,git_sha,data_sha256,axes_sha256,timestamp,command,method_version
TNFRSF9,PRIMARY_POSITIVE,TNFRSF9-2,2,213,196,196,409,196,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RB,PRIMARY_POSITIVE,IL2RB-1,1,228,208,208,436,181,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RB,PRIMARY_POSITIVE,IL2RB-2,2,181,217,181,398,181,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RG,PRIMARY_POSITIVE,IL2RG-2,1,273,311,273,584,177,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
IL2RG,PRIMARY_POSITIVE,IL2RG-1,2,207,177,177,384,177,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
ABCB10,MATCHED_NEGATIVE,ABCB10-1,1,96,93,93,189,85,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
ABCB10,MATCHED_NEGATIVE,ABCB10-2,2,85,131,85,216,85,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3C,MATCHED_NEGATIVE,APOBEC3C-1,1,254,232,232,486,83,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3C,MATCHED_NEGATIVE,APOBEC3C-2,2,83,85,83,168,83,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3D,MATCHED_NEGATIVE,APOBEC3D-2,1,187,172,172,359,124,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOBEC3D,MATCHED_NEGATIVE,APOBEC3D-1,2,124,131,124,255,124,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOL2,MATCHED_NEGATIVE,APOL2-2,1,183,186,183,369,120,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
APOL2,MATCHED_NEGATIVE,APOL2-1,2,135,120,120,255,120,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
BICDL2,MATCHED_NEGATIVE,BICDL2-1,1,298,271,271,569,154,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
BICDL2,MATCHED_NEGATIVE,BICDL2-2,2,154,157,154,311,154,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOSL1,MATCHED_NEGATIVE,FOSL1-1,1,108,89,89,197,70,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOSL1,MATCHED_NEGATIVE,FOSL1-2,2,75,70,70,145,70,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOXL2NB,MATCHED_NEGATIVE,FOXL2NB-2,1,167,162,162,329,89,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
FOXL2NB,MATCHED_NEGATIVE,FOXL2NB-1,2,89,101,89,190,89,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
INPPL1,MATCHED_NEGATIVE,INPPL1-2,1,142,167,142,309,114,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
INPPL1,MATCHED_NEGATIVE,INPPL1-1,2,138,114,114,252,114,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LHX4,MATCHED_NEGATIVE,LHX4-1,1,108,94,94,202,54,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LHX4,MATCHED_NEGATIVE,LHX4-2,2,54,78,54,132,54,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LTBR,MATCHED_NEGATIVE,LTBR-2,1,273,229,229,502,219,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
LTBR,MATCHED_NEGATIVE,LTBR-1,2,271,219,219,490,219,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
MUC1,MATCHED_NEGATIVE,MUC1-1,1,306,331,306,637,170,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
MUC1,MATCHED_NEGATIVE,MUC1-2,2,170,222,170,392,170,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
OTUD7B,MATCHED_NEGATIVE,OTUD7B-1,1,141,138,138,279,122,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
OTUD7B,MATCHED_NEGATIVE,OTUD7B-2,2,126,122,122,248,122,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PAPOLG,MATCHED_NEGATIVE,PAPOLG-2,1,176,170,170,346,59,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
PAPOLG,MATCHED_NEGATIVE,PAPOLG-1,2,97,59,59,156,59,True,REQUIRES_DESIGN_AND_VALIDATION,2c7e6c09e19305d5db43682471acc64ba146db39,"{""data/external/gse190604/guidecalls.txt.gz"": ""ffd5a3050a69d013ddc09a43fae63642a7659cdb778f78c865e0829207e17b7c"", ""outputs/generalization/near_immune_scores.csv"": ""2f9c94a22d0205ab6bcbdecffcefa9509a8478f893d487eef8b4fc743b97ba75""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T14:56:09.705381-03:00,python scripts/build_prospective_donor_panel.py,prospective_donor_panel_v1
